1.#QNAN		1.#QNAN
917121		843154
933820		973062
918923		903258
919573		901170
921223		911419
920050		911246
920853		916407
921644		915937
919608		910727
920017		911272
920783		915605
920106		913037
919735		911910
920606		913115
920231		912829
913799		901878
928306		934758
926874		943884
919440		906752
920657		914377
921299		916174
921359		918175
921020		917012
921546		918720
922678		921149
920377		910749
919738		909793
920417		914171
920299		917610
928723		944140
919951		910664
919861		911825
920933		916761
925993		919920
919584		912878
920674		914381
920633		911750
921071		916185
919944		911344
921899		917333
908171		887050
920781		914762
920828		915992
921152		917523
923826		920873
906830		757338
917871		908262
919972		904541
921450		913533
921351		916831
922058		916720
921662		916758
922335		919222
920826		910886
921024		914782
920372		916098
920242		914950
924786		926850
920713		897688
929084		937622
920300		913729
923363		919586
920869		914592
920890		915467
927260		931290
919692		911429
915568		906653
920181		913622
919765		914112
920260		914237
922147		918564
771101		703811
920992		916475
919209		912963
917441		912505
919126		914071
919455		915192
921669		917797
924874		924522
919893		916533
920322		913635
921758		917835
873386		757337
932911		962281
912344		884061
918230		906425
921742		917158
920491		913774
920894		916016
920200		914590
921937		925762
921481		915005
916872		914659
924514		931567
917461		905045
941213		980075
919708		911824
917304		904565
906657		884179
923834		922657
915554		908423
918868		907258
919776		911003
920484		919329
920261		909944
921059		913617
908231		904535
918457		913261
919929		913907
920796		915603
921424		917523
914867		900640
920810		917431
921385		920752
921468		898718
922399		910349
921837		919547
917820		904197
921438		917205
924204		927306
921988		914077
921356		915262
919881		914848
920776		917212
921597		916552
934853		960489
915967		906149
920668		910827
921308		918551
920746		925889
922316		920963
916609		905002
913158		906097
917648		901271
930543		928473
934050		953368
919396		912909
919606		913067
919639		913276
921423		919784
922894		927222
919806		905639
921019		913362
922216		915507
923731		917897
920644		914490
920737		917101
919888		927631
923647		921441
921903		919409
919787		913550
920622		919087
921386		916873
917137		906415
921540		918762
984479		1.02393e+006
920494		915667
922353		917828
920725		916747
920960		915046
927334		937274
919779		917085
915767		901583
920396		910459
921261		918141
904933		889053
913814		902233
918284		911883
921712		916488
920376		914970
920562		915463
920409		915873
918818		912243
918461		913740
920569		915393
920456		916918
910389		792241
915903		894791
919338		909945
920145		912074
918198		910558
908775		900515
919806		913233
919838		911815
920330		913713
920929		915586
956078		973595
