1.#QNAN		1.#QNAN
921418		918919
925191		922119
930670		1.09234e+006
900642		884490
913525		915798
922284		920556
920251		911233
920870		914880
921161		918495
921396		921710
918386		916779
920976		916233
920914		917009
921414		919337
921668		920317
921254		917965
921735		921779
922091		914998
919298		914153
920442		922436
920523		923930
921046		914186
921821		921423
920851		917901
943647		991484
919911		918681
919823		923301
920961		908216
923096		925222
921139		915729
921732		917265
921245		918140
919718		903402
921240		917232
921616		919516
924969		900171
925404		933659
921964		917868
923301		923647
919415		915123
921412		920741
922142		922590
917968		924741
920782		913168
922154		920726
921335		923705
931032		939925
921057		920358
921518		921824
921622		925306
921612		912717
921359		916782
921682		919758
925080		917598
921818		917538
919678		913711
919980		915038
919454		914665
921528		917415
928056		930496
920746		927742
921439		918921
923006		928064
922199		924100
925373		957211
923882		918822
929543		945446
920566		917293
903969		937853
920507		913359
921347		917068
921274		917082
920165		916124
922229		910877
920482		916932
920277		917244
921354		919418
919777		913986
919970		914687
917640		901449
920216		916822
920756		921052
920666		920151
921514		914782
920456		925673
921665		917263
921781		917752
917534		902174
920159		919880
923859		910936
921294		918267
923017		916997
922491		916656
922112		917309
925365		923616
922558		918598
923010		919573
922193		918761
915486		900453
918693		910622
922368		920711
922041		917228
922282		918177
922151		917463
938455		948431
927142		991379
924931		925184
921401		918927
921070		918836
921366		920157
921363		919826
921112		922497
920114		914496
923916		920871
920073		916945
920605		921431
922415		914555
922483		901638
922553		913935
925202		920574
881419		905631
920897		921332
921632		926016
919711		913919
919070		916736
920797		914604
921304		918700
920636		917990
919252		916495
916356		894207
917628		900997
921923		907821
920617		951704
890419		893864
914424		898458
918558		911719
924302		933774
923064		877548
920980		915992
918096		909637
922237		927592
910485		888203
921622		912881
922157		911287
922855		918568
929134		932695
921075		915084
918603		914027
921389		916287
922401		917871
919415		914254
919975		915433
920552		916905
921447		916856
926764		924006
921359		919697
922558		927365
927385		932824
927242		926926
926832		928898
922119		920823
926338		930940
921550		921237
917507		934600
923019		922313
949321		933975
920365		915909
913144		905903
912631		904879
921867		927919
922794		919477
920436		920219
918511		932424
918003		916453
921388		923896
921208		923470
921295		923314
919665		920250
915135		914693
987012		1.20242e+006
918795		907401
923137		922996
919276		917743
919770		918845
922324		924427
914846		908395
920257		920026
921228		917087
923841		926033
926977		932053
919735		898141
919810		899375
921995		919409
920820		911162
922976		922382
731891		377955
918430		916586
919835		894199
920190		914928
920054		913430
920089		913014
860627		691202
926366		919533
871461		814728
920713		924378
919495		917004
917235		907512
920373		917990
920655		918381
920232		917441
919612		915273
920151		917450
922814		922626
925066		917533
916631		911622
923086		934111
919088		918402
919503		920513
918446		911758
918198		910834
918578		910206
919344		914172
925508		926419
922365		923764
922825		1.34221e+006
919217		913250
919502		914670
919540		914613
918435		915793
921466		921897
923306		924234
923383		937812
907063		882771
921251		923289
921160		922483
919794		914307
921126		922313
921341		922273
922292		925389
922730		921236
926036		924350
921262		931840
920741		918808
920569		919677
921448		924282
921443		924725
912490		890688
922200		918549
920937		921527
922643		920502
922081		921422
923370		926159
903246		888002
935741		954118
929963		940561
921134		933958
920906		907074
928785		948208
923422		921195
922720		921641
925066		926847
919410		908523
920485		916361
921343		922490
921526		922280
929991		909930
921698		910116
920506		896851
919240		914188
923459		930597
921881		918639
922424		923991
922526		924261
920372		924522
923322		930628
920453		910553
921566		923648
930474		946773
923286		924701
920263		918074
920953		917572
921473		919401
920075		920450
920843		921397
923002		924384
922645		924415
921971		924316
922895		909548
914535		909228
925271		922484
921336		925562
921568		923240
926047		931066
924479		925822
922205		927011
916740		902200
920874		919105
920507		914440
921537		911424
917103		904022
919022		916318
918862		916451
919811		918009
868300		906836
917622		919266
924225		931113
922460		919064
921899		920591
917272		918418
921700		920968
923565		920821
929248		928092
938892		936097
920474		920286
921750		921578
920320		919907
920122		918250
914685		864945
920344		910626
921913		915521
923022		923504
924139		923343
923744		931567
923585		925963
927532		941089
951325		971051
918392		918296
919972		918761
921285		922977
920873		917691
920923		920607
920847		921184
922816		923187
923031		926396
920737		930013
924929		928358
923816		923568
921429		920144
921257		925993
923208		924459
940045		947599
914547		914993
925054		936272
923417		931555
920909		918981
929375		933109
928629		926653
926425		927526
915872		911093
916659		909013
920263		918199
917157		928827
923607		921806
932530		934850
921001		923611
918178		875903
942324		980184
921294		920908
921565		922564
922366		915357
921890		912160
923248		921292
921636		920861
903787		903309
927891		923257
929230		951807
919795		916923
922126		926642
920391		930844
906933		918952
918881		912039
919932		916210
918432		907318
919336		920388
914819		842067
926301		911760
905817		822304
919135		917264
916033		918253
917754		906252
917340		911255
914653		906888
915376		900334
917556		920192
923281		928599
914594		917220
922400		923223
921691		923948
921236		920961
909889		912281
919348		933196
923236		925709
908227		881583
918708		901419
923122		931238
923247		923404
922439		921720
926388		939552
920911		919445
921993		920300
923101		924883
923145		925864
923018		925214
923167		924859
886978		1.2143e+006
921452		931675
922296		924502
922915		925227
923889		934876
951439		1.06129e+006
921649		923751
924326		929443
921954		928166
874144		695354
917857		896812
922234		929088
922039		921747
910969		897001
924964		928513
932768		939203
905968		882106
918696		913507
918147		900967
918603		928208
925326		923014
921411		925547
923077		926468
728117		72090.3
919959		923457
910760		903630
922137		935048
923787		915589
953081		973383
925437		923742
917893		865217
928245		924304
920658		923662
920417		915775
921835		921718
921653		927914
898657		898313
923744		934663
922993		929088
923905		940734
925355		932231
921397		905787
923028		925183
921596		924691
920605		922103
921497		923955
920739		914590
924457		899182
920765		918047
921182		920159
924078		931755
907279		924809
923400		927152
904695		921174
926796		910459
926745		910254
857467		865405
920193		919281
922613		923521
898638		888099
916691		911668
933640		966644
919807		887946
924641		926009
918989		907827
926523		989044
927198		919128
871836		929646
919684		917358
920222		919286
920315		921915
919866		915071
920517		914675
923177		923713
923934		925058
922567		933612
921540		939929
954090		951719
924539		936009
917519		901014
920298		912042
920519		914024
920520		913639
919612		899964
915925		905353
917681		911745
918020		912495
920301		917201
919228		900019
921696		921246
927050		951487
902183		925308
920591		922750
860314		934458
919764		922505
926697		937533
923700		924151
923718		906505
924745		924882
914133		896486
921935		920304
924483		923549
924189		927017
928656		932999
925214		924661
935449		946384
921353		920046
917361		911250
918844		909501
923107		896313
911797		919834
918972		915297
983408		1.01539e+006
894489		784910
918560		910638
905301		849828
926084		882713
920106		921458
920670		920386
922632		925687
924546		928437
922709		923497
925262		922720
900693		867104
914463		910734
918206		909983
932220		1.22329e+006
931209		938270
920981		916955
921228		922196
924220		924905
922738		925349
924234		925416
918868		915282
931036		946192
921818		909812
922505		911289
922734		911956
933438		930558
924193		925248
922910		920862
923140		923040
922113		919767
941065		1.00061e+006
922292		919166
906912		911289
920839		904357
906579		910040
942860		967594
878513		912686
586494		670454
922831		924171
920391		917929
920138		914707
919524		908033
923163		922299
932560		931998
930944		926740
918029		926035
957185		929410
923172		932931
914684		921971
928933		938346
922658		928069
926886		944491
923798		926693
921544		920905
909422		892152
934688		1.0275e+006
917113		911875
916546		910615
919182		916916
921641		923129
917863		915104
920154		920758
911659		905831
919526		920089
932532		974417
925932		929019
916068		909780
935125		947119
918769		915272
920651		923210
920124		910269
912850		898548
920210		910522
921610		921069
925338		924705
924834		935974
921296		911766
922833		916565
914562		902712
923457		924583
923122		922982
929531		947833
914657		906608
926719		930910
926884		927784
917253		909707
920716		920480
920312		923702
920691		925970
920916		921215
919698		921978
920716		932442
918655		913498
927983		837014
927845		917172
927792		929148
917026		879306
939361		1.03039e+006
945176		943366
915205		888339
922418		912714
923608		922163
924851		927591
921642		919585
924707		923277
921593		920191
913439		908752
922667		925559
920182		920460
923930		930134
924330		931623
926412		938561
561238		-256293
927884		965462
922067		925849
917051		913554
931272		956944
918130		921591
919773		919573
937428		954752
922469		930075
934782		1.0749e+006
916642		887146
881697		778200
918868		901265
922561		916838
923354		920629
921674		913475
914890		933532
922511		926218
922278		921244
921113		921584
922017		925912
922135		926354
921471		926636
922625		934343
918545		906028
903197		724135
921303		917372
918333		915111
922088		910485
919586		917098
921359		922676
930337		955326
926360		928298
927883		934405
927682		933620
929558		939306
876858		845983
919594		909864
922344		920894
920415		915935
922276		924192
921836		920929
921926		921068
923259		927388
923530		925559
923550		926698
923998		927492
912152		921958
919458		923624
924761		974175
920481		927063
920644		912799
933021		899041
921180		908016
918329		882471
916161		886157
932012		952570
927458		934392
922047		924526
923025		929921
915463		886025
922035		916442
920343		901927
921104		917600
917256		914661
924245		930007
931384		926966
936651		865299
917102		914903
917953		915233
917430		916541
918804		913335
920925		918803
922157		921107
921123		919753
893094		917581
923323		933723
921542		923532
921974		917393
916544		904306
921754		916324
922623		922291
923350		922399
921189		917476
921173		918719
926427		943813
921171		913266
920507		911403
922888		920654
919448		920386
923743		924562
923911		924563
927308		935978
922299		919087
911124		916114
921838		914819
923980		919220
929095		924679
917063		890604
920026		916647
921651		922476
921495		920215
924204		929544
930090		970130
924229		929753
927265		953279
922108		924863
893065		819096
917774		923787
923880		927195
923353		923756
922305		923877
921665		917302
921986		921339
921696		914494
921797		916803
922413		922312
921634		918706
924810		926729
922840		923707
921187		923515
941718		957737
913139		808655
919579		910797
988453		918040
915677		917915
924052		909993
923897		910876
920422		932760
920723		917147
921930		899515
921764		922005
921352		920949
1.02369e+006		927889
925400		933783
921603		921517
928116		946006
924969		912137
920533		922319
923579		932254
922062		917765
911531		852216
921020		916187
924879		929684
870423		770301
921400		925523
918216		913151
922421		921513
915768		906177
919211		914130
919180		914344
920985		926564
921210		924496
919449		915220
920059		918404
921180		923382
936304		924847
915872		893452
912989		866735
917190		913143
922247		920531
916341		921093
920474		919779
922745		919448
922148		925843
919844		912206
903258		831332
836022		757096
921157		915340
917769		912477
917528		913172
919686		912979
912194		895012
921546		914036
917829		901728
919650		908793
922044		921756
926476		857961
923127		925392
918561		906111
920919		913124
922357		923801
916692		940960
920564		921420
933499		948980
923345		928158
924121		929650
924491		930027
918420		918127
918375		918861
921372		921420
923754		925605
920893		917481
916379		902001
919868		917840
925950		926634
918104		901113
925719		914111
922715		921364
922678		910348
891604		923178
923157		924769
924668		926192
921050		885577
916353		906619
932713		958253
923477		927500
918234		896049
922351		930758
901002		902483
912807		881468
925562		925782
931681		947935
935965		939227
920934		915869
920715		914969
926000		915176
916729		919305
978946		1.25254e+006
922935		926619
924255		918709
934676		924943
916307		887963
917735		909575
923950		942232
924537		933009
921317		921093
914982		916909
922682		926726
924097		903770
942039		982116
921424		921477
922072		931689
920700		916700
921272		922140
921621		916930
921192		917599
921133		918453
921344		921362
921152		908676
913809		910557
927727		927718
922821		919779
921118		916899
915150		908126
921218		932927
922291		922322
920317		921348
920487		924392
920301		920834
921264		931252
921782		926552
925279		940296
921686		926893
911090		906263
925708		932979
1.03667e+006		1.19894e+006
915628		927190
916162		921209
910271		937339
913929		928038
927181		923346
925599		919688
929333		924429
933489		932730
927884		931233
921219		917548
921205		917947
914564		929470
927226		944144
920492		915142
915025		897331
919667		906998
922472		917410
922427		922087
859957		875291
925987		934344
917091		917274
922600		925701
922334		924148
922212		920649
926396		945920
923382		935547
921936		939091
916339		895909
927764		956632
925051		917807
932318		1.16539e+006
923292		899110
923469		916584
939668		961065
924618		920496
922064		923363
923096		922884
923991		952767
925293		940864
923239		922693
908502		869676
920529		926515
944864		1.00996e+006
916834		921908
914358		923821
921168		926248
914487		916268
921168		921438
918195		930222
921624		927428
913381		911019
921872		931412
923121		937247
921819		894478
923945		926359
923874		923960
920383		925963
923784		925831
924922		937939
926003		925316
920652		852741
920726		921041
924564		914753
925859		931696
925157		945406
922933		941592
920346		946075
923035		919170
922867		918625
927029		942809
928240		904074
916956		923414
921709		913675
922655		941606
913511		891587
907982		926032
920163		903099
931002		879377
923265		913325
868581		854451
892437		850029
920488		926449
917231		913387
920177		922887
921300		918843
919816		947694
921935		908192
922738		925323
921304		910722
929523		954103
922334		914868
923397		930575
920746		915813
922269		916983
920986		920255
922637		913304
867151		795594
925979		938365
921717		925442
921495		940507
922918		913936
918772		916882
922425		937616
923548		952701
925922		941077
918461		906333
921440		925910
850218		858846
923308		927547
923355		927380
925645		932789
923607		909608
925458		937265
889678		834453
922645		928352
923207		926471
922822		928176
923558		939314
920076		918011
923147		921205
923695		890907
921999		935114
923559		937910
929304		958524
925032		923232
931859		935772
921971		900355
923105		896025
921616		918217
937710		952638
920790		914641
918722		920999
899201		841698
924712		928892
923616		926335
1.01147e+006		894516
916627		914692
927082		929375
916233		907127
936777		959015
921830		928412
925007		931534
949498		963182
899718		760116
915884		898111
924767		934037
918693		914955
919183		917129
919857		918294
925260		932008
924691		933424
920922		922800
929261		941293
892155		859725
917616		913268
922066		955335
920978		925753
865361		802973
740412		364434
883756		625042
923407		943316
912636		803229
920183		933236
922600		967989
925827		939252
917194		928149
921487		911300
922289		932702
926799		944255
903423		828298
916838		900609
919451		915646
921823		920518
926856		981191
921920		944163
979163		1.00844e+006
935033		942354
917826		902533
923445		933814
917905		910310
960953		1.03126e+006
964210		1.04193e+006
864618		767132
924802		934849
941108		1.12995e+006
926604		920829
876033		317915
925032		925943
918037		910736
917976		910540
922750		926100
922687		910846
926359		938787
917248		922907
924428		930558
932159		939355
922375		920734
923245		907150
919363		919378
942400		954277
933964		930183
942640		941095
914617		873137
920227		920093
924608		926575
923469		934487
924284		918499
916687		911456
927997		911224
916019		913914
920682		927651
919128		1.02308e+006
936327		957971
925757		924079
938023		943967
924657		921128
751513		704355
924871		928859
920547		914168
919974		913975
1.14921e+006		768724
925533		930960
930918		943607
926459		932123
921585		918330
918907		912393
919778		914787
938526		906321
917348		915530
931060		939416
923886		928406
915478		927647
919480		917913
926900		940524
924006		924460
907132		912556
918597		909873
917185		904142
910442		910754
927146		930804
923817		945649
920278		903367
924533		957266
973346		1.04382e+006
923379		916696
920335		918635
921734		918529
920841		926113
921857		932034
917639		917154
