1.#QNAN		1.#QNAN
920541		917006
921561		914986
919449		904611
920309		916317
921285		911529
919834		910656
920542		915646
921625		915130
919790		911064
919875		911069
920334		912120
920099		913160
919710		912025
920630		912991
920207		913040
913933		902130
927023		932786
910599		863867
920409		913207
921564		916541
906244		708798
911957		876748
902474		864517
920923		915515
919862		915576
921146		915834
940341		941464
919948		914760
924367		917502
920829		912551
919916		908725
920178		914662
917168		905631
918117		909660
919915		913940
919909		913176
921059		915955
920029		911910
921264		916440
936907		936343
763205		225405
920687		915386
924379		928863
914917		896945
920680		914986
921599		917390
923615		925214
922097		920318
922008		913427
924404		917473
921181		917562
922185		910302
918011		906542
921642		918085
922716		920859
925535		941770
919916		913312
919645		908791
920939		915230
921247		915510
920202		915617
919472		913326
920420		915543
922694		923020
916471		906617
919913		912837
920632		914410
933250		939134
920884		915049
921313		916537
925049		925471
923204		917073
923520		920615
922053		926676
920150		914099
919995		913122
920194		914257
922863		919724
922783		919966
918604		896056
919210		913095
919384		913567
872794		865102
919507		914057
919557		913741
921108		917514
922478		919054
925221		923231
920435		918020
920344		913834
921131		916469
937449		930788
967399		1.01583e+006
916184		904339
910764		878036
918132		907057
919512		912192
924422		940098
920645		914732
921074		917436
920286		915870
960868		1.28973e+006
921376		915081
940244		980174
921371		920873
924185		930331
919726		913050
910704		882031
919201		910440
923516		922650
921643		919205
914275		902644
919866		916435
913778		900597
918873		908314
910503		882346
912633		894758
922280		960831
920238		909783
920877		913161
919301		905370
917756		912567
918896		913712
920459		914824
921243		916444
921760		918103
911092		889870
920098		913769
921008		919152
921507		922198
924584		914096
918639		911621
920971		918179
896654		849245
918899		910191
921148		915949
921564		917174
922852		922629
920243		917234
919655		913501
920139		914451
919477		913958
918756		910895
906686		878441
918160		910382
921238		914557
921580		918357
921858		918860
922561		921263
923424		923922
924779		927725
916116		909249
918365		919128
919074		911187
920046		915203
919081		911452
919194		911705
923720		923247
917139		908017
920084		913986
919972		913221
919546		913645
917143		907914
921463		915560
922521		917115
924504		919845
920364		914579
920501		916995
920272		923434
903068		1.0032e+006
921716		918634
940865		981315
920961		917603
921223		923500
922391		920450
916657		821169
920220		915868
921868		920591
917944		919572
918905		909986
922278		919037
920751		916273
920726		913874
922336		919812
920252		918260
921766		926138
916196		903413
920142		908178
920901		915635
900960		882438
914861		903869
915181		904440
921185		916853
928084		939491
919823		913950
919909		914301
919873		914993
920359		914854
918662		912616
918687		913022
918825		913266
920162		915245
920877		915491
917379		903414
919463		910828
919990		911840
920963		914323
920718		916035
918650		907853
919823		913630
920415		913653
920270		913878
916549		909707
966969		991003
917462		909604
919828		913689
921502		913875
894210		810710
918946		907567
919231		912107
919731		914492
916193		896642
918287		907989
919967		915037
915712		900124
917378		905375
918966		909828
916987		905681
918872		911223
922864		922666
919033		918093
919214		913515
918856		910554
919079		910378
919567		912363
919638		912557
922425		914974
923055		917007
926090		917019
903942		920198
919833		911984
919802		912932
919169		910268
920874		914809
920996		914843
921138		915313
922164		918864
918783		913379
915961		909015
917579		914072
917571		914713
919171		912625
913005		903716
923333		919825
924310		919919
927458		923674
954026		951094
935413		972989
919706		912718
934146		1.0298e+006
920135		916405
920565		917554
878315		634874
922177		922409
919799		909512
923119		903773
923087		903653
916240		907603
919238		902687
923862		919047
898745		886894
914082		906847
916334		909941
919754		914285
917168		910968
919917		913495
928637		926353
916791		910924
919639		915141
921330		917452
925027		896885
921470		915069
920595		905305
923535		918885
922498		916073
921406		911970
916235		910660
918303		912718
918812		913686
898765		983751
925408		920147
921507		917744
922695		923233
919759		908844
920832		913695
929957		946536
919040		907802
919900		915185
921266		915106
923254		925388
918099		892027
922846		919305
927730		921986
921139		921787
921005		915562
927924		927440
938256		942617
918268		912758
918371		913286
914298		940997
922266		919638
921448		911564
921055		908409
921991		916062
921976		920647
922705		918461
918446		1.02833e+006
921652		907577
921622		909428
921681		914755
920830		916048
918297		906952
869176		792820
1.00274e+006		1.01425e+006
909322		899196
914594		904008
917478		909562
919622		911948
909344		892059
907485		910367
951525		1.07314e+006
915724		908632
919943		913901
916716		914520
918078		894204
920573		910753
920444		912244
920598		913282
920808		915072
921337		916166
917333		913204
921533		909272
