Time 		Copied 	Extrap 		MSE 			MAE 			PSN
1		0	0		0.000000		0.000000		1.#INF00
2		0	2197		0.491958		0.027192		51.211525
3		9	2188		0.513497		0.019253		51.025425
4		13	2184		0.159111		0.011123		56.113800
5		14	2183		0.429281		0.015384		51.803383
6		14	2183		0.250823		0.011983		54.137119
7		21	2176		0.001327		0.000358		76.903526
8		19	2178		0.013009		0.003409		66.988235
9		18	2179		0.132675		0.010172		56.902916
10		22	2175		0.231442		0.020092		54.486382
11		37	2160		0.701106		0.024406		49.672966
12		37	2160		1.056017		0.034383		47.894093
13		41	2156		0.494000		0.015463		51.193535
14		38	2159		1.135041		0.038341		47.580688
15		37	2160		1.864512		0.064187		45.425152
16		34	2163		2.906039		0.089352		43.497791
17		37	2160		1.396981		0.054950		46.678894
18		56	2141		0.534109		0.031516		50.854500
19		59	2138		0.502142		0.032236		51.122536
20		64	2133		0.769944		0.028597		49.266212
21		70	2127		1.317583		0.031239		46.933025
22		68	2129		1.136672		0.041994		47.574455
23		72	2125		1.592852		0.058077		46.109051
24		83	2114		1.911538		0.057997		45.316978
25		94	2103		1.436992		0.042164		46.556259
26		93	2104		1.224297		0.042309		47.251934
27		94	2103		1.004742		0.042198		48.110256
28		91	2106		1.058787		0.036506		47.882713
29		103	2094		1.457559		0.047481		46.494541
30		109	2088		2.603116		0.079503		43.975868
31		114	2083		1.741345		0.047211		45.721954
32		123	2074		1.189480		0.025292		47.377235
33		116	2081		0.827245		0.038061		48.954464
34		121	2076		1.171519		0.042194		47.443310
35		134	2063		1.223745		0.032561		47.253895
36		120	2077		1.339525		0.054237		46.861298
37		146	2051		0.820527		0.032036		48.989876
38		146	2051		1.103419		0.035503		47.703400
39		151	2046		1.186242		0.038823		47.389069
40		154	2043		0.766030		0.025545		49.288349
41		152	2045		1.128678		0.034406		47.605103
42		158	2039		1.333089		0.043820		46.882210
43		165	2032		4.117797		0.120669		41.984154
44		181	2016		2.520727		0.046636		44.115547
45		189	2008		3.450739		0.076461		42.751686
46		186	2011		2.218900		0.055500		44.669426
47		190	2007		2.044255		0.039352		45.025452
48		197	2000		3.466984		0.070256		42.731285
49		185	2012		3.576061		0.094361		42.596756
50		201	1996		4.259534		0.101703		41.837181
51		214	1983		4.990252		0.132967		41.149578
52		214	1983		3.515519		0.086778		42.670906
53		228	1969		1.313234		0.044462		46.947380
54		220	1977		2.630009		0.075731		43.931232
55		224	1973		5.720866		0.133797		40.556187
56		232	1965		3.372206		0.086588		42.851662
57		225	1972		5.311587		0.155084		40.878559
58		248	1949		4.753523		0.128370		41.360645
59		238	1959		8.696265		0.211388		38.737476
60		258	1939		5.987770		0.144942		40.358154
61		245	1952		7.796841		0.187509		39.211617
62		263	1934		9.061408		0.232020		38.558849
63		270	1927		8.145241		0.218809		39.021763
64		265	1932		11.410748		0.299764		37.557663
65		268	1929		11.085008		0.292014		37.683445
66		296	1901		10.394928		0.254075		37.962589
67		295	1902		12.597130		0.296758		37.128090
68		295	1902		13.180728		0.339038		36.931412
69		312	1885		16.596266		0.364013		35.930702
70		303	1894		13.629886		0.339258		36.785881
71		315	1882		17.384789		0.413870		35.729111
72		324	1873		14.942655		0.395033		36.386524
73		328	1869		15.279070		0.416633		36.289833
